
General,**Senior Citizen,General,**Senior Citizen
7 days to 14 days,3.00%,3.50%,4.75%,4.75%
15 days to 29 days,3.00%,3.50%,4.75%,4.75%
30 days to 45 days,3.50%,4.00%,5.50%,5.50%
46 days to 60 days,4.25%,4.75%,5.75%,5.75%
61 days to 90 days,4.50%,5.00%,6.00%,6.00%
91 days to 120 days,4.75%,5.25%,6.50%,6.50%
121 days to 150 days,4.75%,5.25%,6.50%,6.50%
151 days to 184 days,4.75%,5.25%,6.50%,6.50%
185 days to 210 days,5.75%,6.25%,6.65%,6.65%
211 days to 270 days,5.75%,6.25%,6.65%,6.65%
271 days to 289 days,6.00%,6.50%,6.75%,6.75%
290 days to less than 1 year,6.00%,6.50%,6.75%,6.75%
1 year to 389 days,6.70%,7.20%,7.25%,7.25%
390 days to < 15 months,6.70%,7.20%,7.25%,7.25%
15 months to < 18 months,7.10%,7.60%,7.00%,7.00%
18 months to 2 years,7.10%,7.60%,7.00%,7.00%
2 years 1 day to 3 years,7.00%,7.50%,6.75%,6.75%
3 years 1 day to 5 years,7.00%,7.50%,6.75%,6.75%
5 years 1 day to 10 years,6.90%,#7.50%,6.75%,6.75%
5 Years (80C FD) – Max to `1.50 lac,7.00%,7.50%,NA,NA
